epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.3484,1.03765,2.59416,1.23241,0.56607,0.85,0.87816,0.63499,1.65875,1.06267,1.38261,0,0,0
2,4.31954,1.02718,3.65149,1.45168,0.5633,0.85,0.88864,0.6374,1.68041,1.05936,1.38864,1.17822e-06,1.17822e-06,1.17822e-06
3,7.33783,1.16501,3.47979,1.37242,0.5709,0.85,0.85546,0.62172,1.68886,1.06066,1.3899,2.33288e-06,2.33288e-06,2.33288e-06
4,9.90428,1.14297,2.84121,1.37662,0.60848,0.92599,0.90519,0.64286,1.67589,1.05703,1.37329,3.46397e-06,3.46397e-06,3.46397e-06
5,12.4275,1.20513,2.11937,1.72103,0.5502,0.85,0.85669,0.63618,1.66409,1.0547,1.36439,4.5715e-06,4.5715e-06,4.5715e-06
6,14.8575,1.16105,2.53598,1.53628,0.54895,0.86196,0.87521,0.62872,1.66533,1.06464,1.36507,5.65548e-06,5.65548e-06,5.65548e-06
7,17.4125,1.29702,2.53355,1.5763,0.5515,0.86585,0.8846,0.62965,1.66012,1.0636,1.36038,6.71588e-06,6.71588e-06,6.71588e-06
8,20.1385,1.18352,2.41208,1.61985,0.53886,0.86667,0.89452,0.63073,1.649,1.05407,1.3543,7.75273e-06,7.75273e-06,7.75273e-06
9,22.546,1.21642,3.21676,1.43004,0.5342,0.86667,0.89432,0.63229,1.64796,1.05583,1.35092,8.76602e-06,8.76602e-06,8.76602e-06
10,25.1135,1.12826,2.43744,1.40031,0.61718,0.93827,0.90844,0.63348,1.63868,1.05132,1.34664,9.75574e-06,9.75574e-06,9.75574e-06
11,27.6314,1.38379,2.70506,1.71367,0.62633,0.94316,0.90939,0.63435,1.63539,1.04764,1.34438,1.07219e-05,1.07219e-05,1.07219e-05
12,29.6437,0.93338,1.73739,1.36704,0.63638,0.94217,0.91145,0.63503,1.64074,1.06288,1.34721,1.16645e-05,1.16645e-05,1.16645e-05
