epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.00256,1.05983,2.77515,0.31939,2.78467,1.28137,0.01083,0.92857,0.14737,0.09008,0.00833,0.71429,0.11792,0.0599,0.75315,4.23745,0.4068,2.69138,1.00619,0,0,0
2,5.38182,0.99194,3.21004,0.49548,2.7602,1.23019,0.01083,0.92857,0.15324,0.0921,0.00833,0.71429,0.11947,0.06185,0.7431,4.16067,0.40982,2.69952,1.00325,1.9802e-05,1.9802e-05,1.9802e-05
3,7.6465,1.02578,3.28175,0.39052,2.65906,1.34545,0.01,0.85714,0.16547,0.09487,0.01,0.85714,0.12787,0.06367,0.72695,4.07878,0.41184,2.70268,1.00394,3.9208e-05,3.9208e-05,3.9208e-05
4,9.99881,0.68283,2.62076,0.29952,2.54838,1.09439,0.01,0.85714,0.18067,0.0949,0.00917,0.78571,0.13013,0.05842,0.73537,4.10735,0.40942,2.70381,1.0144,5.8218e-05,5.8218e-05,5.8218e-05
5,12.1046,1.33141,4.32019,0.33722,2.85972,1.40404,0.01,0.85714,0.1906,0.10576,0.00917,0.78571,0.13545,0.05449,0.76227,4.36723,0.41412,2.70598,1.02416,7.6832e-05,7.6832e-05,7.6832e-05
6,14.1417,0.65294,2.11412,0.34188,2.57037,0.94622,0.01,0.85714,0.16955,0.11847,0.00917,0.78571,0.14786,0.05106,0.7968,4.50636,0.41809,2.71601,1.04695,9.505e-05,9.505e-05,9.505e-05
7,16.0746,0.86127,3.35971,0.31731,2.64842,1.15249,0.01,0.85714,0.20436,0.14243,0.0075,0.64286,0.14029,0.05215,0.84166,4.71192,0.42053,2.71514,1.064,0.000112872,0.000112872,0.000112872
8,17.9017,1.27179,4.09961,0.31838,2.74273,1.31288,0.01,0.85714,0.2098,0.15205,0.0075,0.64286,0.17109,0.0733,0.85572,4.71366,0.41802,2.72314,1.06652,0.000130298,0.000130298,0.000130298
9,19.8624,1.00725,2.0585,0.29963,2.66023,1.12336,0.01,0.85714,0.23873,0.18023,0.0075,0.64286,0.19426,0.08456,0.85167,4.89511,0.41677,2.73968,1.08201,0.000147328,0.000147328,0.000147328
10,22.2952,0.85451,2.56891,0.36406,2.68871,1.03388,0.01083,0.92857,0.27583,0.21173,0.0075,0.64286,0.21435,0.08337,0.86431,5.24602,0.41328,2.74778,1.08853,0.000163962,0.000163962,0.000163962
11,24.2405,0.80196,2.53579,0.30641,2.51335,0.94124,0.01083,0.92857,0.32055,0.24309,0.0075,0.64286,0.20583,0.07917,0.88592,5.43356,0.41333,2.75496,1.10846,0.0001802,0.0001802,0.0001802
12,26.1848,0.9087,2.33464,0.3005,2.42948,1.10582,0.01,0.85714,0.33735,0.24886,0.00667,0.57143,0.18379,0.07478,0.88455,5.58065,0.41519,2.75646,1.12864,0.000196042,0.000196042,0.000196042
13,28.1019,0.70648,2.19852,0.28491,2.32066,1.0584,0.01,0.85714,0.36189,0.27672,0.00667,0.57143,0.1855,0.08496,0.86705,5.53331,0.42287,2.75095,1.10942,0.000211488,0.000211488,0.000211488
14,30.027,0.87008,2.01323,0.42772,2.91765,1.26298,0.01083,0.92857,0.41894,0.29349,0.00667,0.57143,0.17491,0.06637,0.92017,5.60492,0.44048,2.76686,1.14508,0.000226538,0.000226538,0.000226538
15,31.8663,1.0861,2.52238,0.33133,2.52639,1.26701,0.01083,0.92857,0.45024,0.29026,0.00667,0.57143,0.1636,0.05325,0.97528,5.81479,0.44499,2.79755,1.18132,0.000241192,0.000241192,0.000241192
16,33.7272,1.04854,3.96044,0.31522,2.38307,0.89756,0.01083,0.92857,0.50613,0.28957,0.00583,0.5,0.15696,0.03803,1.03145,6.16448,0.44824,2.81807,1.21758,0.00025545,0.00025545,0.00025545
17,35.7529,1.05193,3.25665,0.33346,2.42515,1.23164,0.01083,0.92857,0.47817,0.28962,0.005,0.42857,0.19747,0.03284,1.11948,6.26794,0.44876,2.83119,1.28579,0.000269312,0.000269312,0.000269312
18,37.5052,1.01262,3.5227,0.2907,2.34727,1.07258,0.01083,0.92857,0.47817,0.28962,0.005,0.42857,0.19747,0.03284,1.11948,6.26794,0.44876,2.83119,1.28579,0.000282778,0.000282778,0.000282778
19,39.3224,1.15167,2.68464,0.38724,2.57362,1.08652,0.01083,0.92857,0.54932,0.33341,0.005,0.42857,0.23884,0.039,1.18103,6.31833,0.4319,2.81768,1.34844,0.000295848,0.000295848,0.000295848
20,41.1579,0.83481,2.58841,0.399,2.32386,1.02012,0.01083,0.92857,0.54932,0.33341,0.005,0.42857,0.23884,0.039,1.18103,6.31833,0.4319,2.81768,1.34844,0.000308522,0.000308522,0.000308522
21,43.02,0.84864,3.69614,0.43335,2.39504,1.13621,0.01083,0.92857,0.55186,0.34179,0.005,0.42857,0.16446,0.04446,1.20411,6.14733,0.41778,2.82754,1.34082,0.0003208,0.0003208,0.0003208
22,44.8713,1.15374,3.26547,0.36377,2.37603,1.16462,0.01083,0.92857,0.55186,0.34179,0.005,0.42857,0.16446,0.04446,1.20411,6.14733,0.41778,2.82754,1.34082,0.000332682,0.000332682,0.000332682
23,46.7911,0.74895,3.08895,0.3502,2.03343,1.03287,0.01083,0.92857,0.5574,0.35683,0.00417,0.35714,0.12462,0.04704,1.19681,6.15773,0.41864,2.82748,1.35316,0.000344168,0.000344168,0.000344168
24,48.6121,1.18889,2.84066,0.32774,2.39332,1.12839,0.01083,0.92857,0.5574,0.35683,0.00417,0.35714,0.12462,0.04704,1.19681,6.15773,0.41864,2.82748,1.35316,0.000355258,0.000355258,0.000355258
25,50.5589,1.01936,3.24241,0.3289,1.97525,1.20395,0.01083,0.92857,0.5236,0.33818,0.005,0.42857,0.22484,0.04084,1.16177,6.45602,0.45676,2.82257,1.35784,0.000365952,0.000365952,0.000365952
26,52.5167,0.73017,3.33953,0.30206,2.02015,0.95181,0.01083,0.92857,0.5236,0.33818,0.005,0.42857,0.22484,0.04084,1.16177,6.45602,0.45676,2.82257,1.35784,0.00037625,0.00037625,0.00037625
27,54.4343,0.82537,2.78861,0.3199,1.92295,1.01817,0.01083,0.92857,0.54176,0.3354,0.005,0.42857,0.0893,0.01153,1.10419,6.63354,0.49293,2.81705,1.32287,0.000386152,0.000386152,0.000386152
28,56.2742,1.03911,3.06557,0.3484,1.96163,1.04796,0.01083,0.92857,0.54176,0.3354,0.005,0.42857,0.0893,0.01153,1.10419,6.63354,0.49293,2.81705,1.32287,0.000395658,0.000395658,0.000395658
29,58.1018,0.77875,3.10732,0.33093,1.851,1.01934,0.01083,0.92857,0.53921,0.36888,0.00333,0.28571,0.07821,0.00797,1.15028,6.86883,0.54035,2.81824,1.3473,0.000404768,0.000404768,0.000404768
